,user_id,last_seen,gender,age_group,level,start_date
32,1000-0026-3012-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
33,1000-0006-9267-FAKE,29/07/2015,FEMALE,30-34,79,17/11/2014
34,1000-0022-7524-FAKE,11/07/2015,FEMALE,40-49,1,05/07/2015
35,1000-0022-4503-FAKE,17/08/2015,FEMALE,25-29,10,30/06/2015
36,1000-0022-9024-FAKE,04/08/2015,FEMALE,13-17,4,08/07/2015
37,1000-0022-8845-FAKE,11/07/2015,MALE,30-34,1,07/07/2015
38,1000-0022-4366-FAKE,16/08/2015,FEMALE,13-17,9,30/06/2015
39,1000-0026-3022-FAKE,15/08/2015,MALE,40-49,1,15/08/2015
40,1000-0022-8890-FAKE,20/07/2015,FEMALE,25-29,3,07/07/2015
41,1000-0026-1401-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
42,1000-0022-5902-FAKE,11/07/2015,MALE,18-24,1,03/07/2015
43,1000-0026-1364-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
44,1000-0026-3064-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
45,1000-0022-7390-FAKE,15/07/2015,MALE,30-34,1,05/07/2015
46,1000-0026-4143-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
47,1000-0022-2890-FAKE,17/08/2015,FEMALE,25-29,11,27/06/2015
48,1000-0022-4490-FAKE,16/07/2015,MALE,35-39,3,30/06/2015
49,1000-0022-8790-FAKE,17/08/2015,FEMALE,50-64,11,07/07/2015
50,1000-0016-6169-FAKE,28/07/2015,FEMALE,25-29,31,03/04/2015
51,1000-0026-2839-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
52,1000-0026-5799-FAKE,18/08/2015,FEMALE,13-17,1,18/08/2015
53,1000-0022-8976-FAKE,23/07/2015,FEMALE,35-39,3,08/07/2015
54,1000-0022-2676-FAKE,16/08/2015,FEMALE,50-64,7,27/06/2015
55,1000-0026-4529-FAKE,17/08/2015,MALE,30-34,1,17/08/2015
56,1000-0022-8755-FAKE,26/07/2015,FEMALE,50-64,2,07/07/2015
57,1000-0022-8955-FAKE,23/07/2015,MALE,50-64,4,08/07/2015
58,1000-0026-5708-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
59,1000-0026-4408-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
60,1000-0022-3055-FAKE,04/08/2015,FEMALE,25-29,5,28/06/2015
61,1000-0022-7297-FAKE,13/07/2015,MALE,50-64,4,05/07/2015
62,1000-0022-8897-FAKE,16/07/2015,FEMALE,35-39,1,07/07/2015
63,1000-0016-9141-FAKE,16/07/2015,FEMALE,30-34,22,08/04/2015
64,1000-0026-3032-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
65,1000-0026-4432-FAKE,17/08/2015,MALE,25-29,1,17/08/2015
66,1000-0026-4232-FAKE,16/08/2015,MALE,40-49,1,16/08/2015
67,1000-0012-3029-FAKE,17/08/2015,FEMALE,40-49,60,27/01/2015
68,1000-0026-4111-FAKE,17/08/2015,MALE,25-29,1,16/08/2015
69,1000-0026-2811-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
70,1000-0026-1458-FAKE,14/08/2015,MALE,35-39,1,14/08/2015
71,1000-0026-5808-FAKE,18/08/2015,FEMALE,50-64,1,18/08/2015
72,1000-0026-2695-FAKE,17/08/2015,FEMALE,25-29,1,15/08/2015
73,1000-0026-5795-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
74,1000-0022-4220-FAKE,11/07/2015,FEMALE,30-34,1,30/06/2015
75,1000-0026-1374-FAKE,18/08/2015,FEMALE,40-49,1,14/08/2015
76,1000-0026-1253-FAKE,15/08/2015,MALE,18-24,1,14/08/2015
77,1000-0022-1165-FAKE,12/08/2015,MALE,40-49,10,25/06/2015
78,1000-0022-5919-FAKE,15/08/2015,FEMALE,30-34,6,03/07/2015
79,1000-0026-4298-FAKE,16/08/2015,MALE,18-24,1,16/08/2015
80,1000-0022-8786-FAKE,21/07/2015,FEMALE,30-34,2,07/07/2015
81,1000-0022-4486-FAKE,31/07/2015,FEMALE,18-24,5,30/06/2015
82,1000-0022-7516-FAKE,15/07/2015,MALE,35-39,2,05/07/2015
83,1000-0026-2742-FAKE,15/08/2015,FEMALE,50-64,1,15/08/2015
84,1000-0022-2958-FAKE,16/07/2015,FEMALE,25-29,5,27/06/2015
85,1000-0026-4321-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
86,1000-0022-9137-FAKE,25/07/2015,MALE,35-39,2,08/07/2015
87,1000-0022-6079-FAKE,11/07/2015,FEMALE,40-49,1,03/07/2015
88,1000-0026-1118-FAKE,14/08/2015,MALE,50-64,1,14/08/2015
89,1000-0026-5784-FAKE,18/08/2015,MALE,13-17,1,18/08/2015
90,1000-0026-2984-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
91,1000-0026-1084-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
92,1000-0026-4480-FAKE,17/08/2015,MALE,40-49,1,17/08/2015
93,1000-0026-1149-FAKE,16/08/2015,FEMALE,50-64,1,14/08/2015
94,1000-0016-6133-FAKE,07/08/2015,FEMALE,25-29,31,03/04/2015
95,1000-0022-7361-FAKE,28/07/2015,FEMALE,18-24,4,05/07/2015
96,1000-0022-1282-FAKE,15/07/2015,MALE,18-24,2,25/06/2015
97,1000-0022-9247-FAKE,29/07/2015,MALE,13-17,1,08/07/2015
98,1000-0022-9147-FAKE,11/07/2015,MALE,50-64,1,08/07/2015
99,1000-0022-4275-FAKE,12/07/2015,FEMALE,40-49,4,30/06/2015
100,1000-0022-5968-FAKE,20/07/2015,FEMALE,25-29,1,03/07/2015
101,1000-0026-4252-FAKE,16/08/2015,MALE,25-29,1,16/08/2015
102,1000-0026-2752-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
103,1000-0026-2749-FAKE,15/08/2015,MALE,40-49,1,15/08/2015
104,1000-0026-2949-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
105,1000-0026-4528-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
106,1000-0026-5907-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
107,1000-0026-1358-FAKE,17/08/2015,FEMALE,18-24,2,14/08/2015
108,1000-0016-2702-FAKE,17/08/2015,FEMALE,40-49,40,28/03/2015
109,1000-0022-2792-FAKE,19/07/2015,FEMALE,50-64,2,27/06/2015
110,1000-0026-4331-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
111,1000-0022-9071-FAKE,24/07/2015,MALE,50-64,1,08/07/2015
112,1000-0026-1110-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
113,1000-0026-2620-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
114,1000-0026-2931-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
115,1000-0026-4176-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
116,1000-0026-1310-FAKE,14/08/2015,FEMALE,35-39,1,14/08/2015
117,1000-0022-5905-FAKE,23/07/2015,FEMALE,18-24,6,03/07/2015
118,1000-0022-7305-FAKE,12/07/2015,MALE,50-64,1,05/07/2015
119,1000-0022-8978-FAKE,24/07/2015,FEMALE,18-24,3,08/07/2015
120,1000-0026-4383-FAKE,18/08/2015,MALE,25-29,1,16/08/2015
121,1000-0026-5883-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
122,1000-0026-2783-FAKE,15/08/2015,FEMALE,30-34,1,15/08/2015
123,1000-0022-2699-FAKE,24/07/2015,MALE,40-49,2,27/06/2015
124,1000-0022-9199-FAKE,25/07/2015,MALE,18-24,1,08/07/2015
125,1000-0022-1478-FAKE,28/07/2015,MALE,50-64,2,25/06/2015
126,1000-0022-7678-FAKE,13/07/2015,FEMALE,18-24,1,05/07/2015
127,1000-0022-8788-FAKE,21/07/2015,FEMALE,40-49,4,07/07/2015
128,1000-0026-4159-FAKE,18/08/2015,FEMALE,13-17,1,16/08/2015
129,1000-0026-5959-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
130,1000-0026-4517-FAKE,17/08/2015,MALE,40-49,1,17/08/2015
131,1000-0016-9253-FAKE,17/08/2015,FEMALE,40-49,43,08/04/2015
132,1000-0022-5781-FAKE,18/07/2015,MALE,40-49,1,03/07/2015
133,1000-0016-7632-FAKE,16/07/2015,FEMALE,35-39,20,05/04/2015
134,1000-0026-4562-FAKE,17/08/2015,MALE,30-34,1,17/08/2015
135,1000-0026-5741-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
136,1000-0026-4120-FAKE,16/08/2015,MALE,18-24,1,16/08/2015
137,1000-0022-1015-FAKE,22/07/2015,FEMALE,50-64,8,25/06/2015
138,1000-0026-2720-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
139,1000-0026-2820-FAKE,15/08/2015,FEMALE,18-24,1,15/08/2015
140,1000-0022-2788-FAKE,13/08/2015,FEMALE,40-49,17,27/06/2015
141,1000-0026-2827-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
142,1000-0026-2627-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
143,1000-0022-9067-FAKE,12/07/2015,FEMALE,40-49,1,08/07/2015
144,1000-0026-1006-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
145,1000-0026-1406-FAKE,14/08/2015,MALE,40-49,1,14/08/2015
146,1000-0026-2806-FAKE,16/08/2015,FEMALE,18-24,1,15/08/2015
147,1000-0026-5706-FAKE,18/08/2015,FEMALE,25-29,1,18/08/2015
148,1000-0026-5993-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
149,1000-0026-1393-FAKE,17/08/2015,FEMALE,25-29,1,14/08/2015
150,1000-0012-7662-FAKE,19/07/2015,MALE,40-49,34,03/02/2015
151,1000-0026-1369-FAKE,16/08/2015,FEMALE,18-24,1,14/08/2015
152,1000-0026-1469-FAKE,15/08/2015,MALE,40-49,1,14/08/2015
153,1000-0026-5848-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
154,1000-0026-2730-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
155,1000-0016-8785-FAKE,02/08/2015,FEMALE,40-49,23,07/04/2015
156,1000-0022-9204-FAKE,14/07/2015,FEMALE,18-24,1,08/07/2015
157,1000-0022-7591-FAKE,14/07/2015,FEMALE,25-29,4,05/07/2015
158,1000-0022-7291-FAKE,14/07/2015,FEMALE,40-49,1,05/07/2015
159,1000-0026-2788-FAKE,15/08/2015,FEMALE,35-39,1,15/08/2015
160,1000-0022-9025-FAKE,11/08/2015,FEMALE,40-49,9,08/07/2015
161,1000-0022-4125-FAKE,14/07/2015,FEMALE,18-24,3,30/06/2015
162,1000-0026-1272-FAKE,14/08/2015,MALE,30-34,1,14/08/2015
163,1000-0022-4425-FAKE,18/07/2015,FEMALE,18-24,2,30/06/2015
164,1000-0026-2751-FAKE,18/08/2015,FEMALE,18-24,1,15/08/2015
165,1000-0022-7642-FAKE,26/07/2015,FEMALE,30-34,2,05/07/2015
166,1000-0026-4537-FAKE,18/08/2015,FEMALE,18-24,1,17/08/2015
167,1000-0026-1437-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
168,1000-0026-2837-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
169,1000-0026-1416-FAKE,14/08/2015,FEMALE,40-49,1,14/08/2015
170,1000-0022-7684-FAKE,12/07/2015,MALE,30-34,1,05/07/2015
171,1000-0022-7384-FAKE,16/07/2015,MALE,25-29,3,05/07/2015
172,1000-0022-4218-FAKE,19/07/2015,MALE,40-49,1,30/06/2015
173,1000-0026-1058-FAKE,14/08/2015,MALE,18-24,1,14/08/2015
174,1000-0026-4440-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
175,1000-0026-1140-FAKE,15/08/2015,FEMALE,35-39,1,14/08/2015
176,1000-0026-5740-FAKE,18/08/2015,MALE,50-64,1,18/08/2015
177,1000-0026-4540-FAKE,18/08/2015,FEMALE,18-24,1,17/08/2015
178,1000-0026-3040-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
179,1000-0022-1149-FAKE,20/07/2015,FEMALE,40-49,3,25/06/2015
180,1000-0026-5840-FAKE,18/08/2015,FEMALE,18-24,1,18/08/2015
181,1000-0026-1282-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
182,1000-0026-2799-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
183,1000-0026-5882-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
184,1000-0022-8921-FAKE,19/07/2015,MALE,25-29,3,08/07/2015
185,1000-0026-4261-FAKE,18/08/2015,MALE,50-64,1,16/08/2015
186,1000-0022-6100-FAKE,24/07/2015,MALE,30-34,4,03/07/2015
187,1000-0026-1068-FAKE,16/08/2015,FEMALE,35-39,1,14/08/2015
188,1000-0026-4368-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
189,1000-0026-1168-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
190,1000-0026-2768-FAKE,15/08/2015,MALE,30-34,1,15/08/2015
191,1000-0026-2968-FAKE,15/08/2015,MALE,40-49,1,15/08/2015
192,1000-0026-5709-FAKE,18/08/2015,FEMALE,35-39,1,18/08/2015
193,1000-0022-5794-FAKE,14/07/2015,FEMALE,50-64,2,03/07/2015
194,1000-0022-7473-FAKE,30/07/2015,FEMALE,35-39,6,05/07/2015
195,1000-0022-9273-FAKE,17/07/2015,MALE,25-29,2,08/07/2015
196,1000-0016-8735-FAKE,27/07/2015,FEMALE,25-29,32,07/04/2015
197,1000-0022-2849-FAKE,12/07/2015,MALE,25-29,1,27/06/2015
198,1000-0022-4449-FAKE,02/08/2015,FEMALE,18-24,4,30/06/2015
199,1000-0022-2749-FAKE,17/07/2015,MALE,35-39,3,27/06/2015
200,1000-0026-5771-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
201,1000-0026-2650-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
202,1000-0026-1150-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
203,1000-0026-1050-FAKE,16/08/2015,MALE,18-24,1,14/08/2015
204,1000-0012-5916-FAKE,24/07/2015,FEMALE,35-39,39,31/01/2015
205,1000-0026-5926-FAKE,18/08/2015,FEMALE,50-64,1,18/08/2015
206,1000-0026-2626-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
207,1000-0026-4543-FAKE,17/08/2015,MALE,18-24,1,17/08/2015
208,1000-0026-4488-FAKE,17/08/2015,FEMALE,30-34,1,17/08/2015
209,1000-0026-1305-FAKE,17/08/2015,FEMALE,50-64,1,14/08/2015
210,1000-0026-1492-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
211,1000-0022-5731-FAKE,28/07/2015,MALE,25-29,6,03/07/2015
212,1000-0022-9231-FAKE,17/07/2015,FEMALE,40-49,2,08/07/2015
213,1000-0022-1131-FAKE,11/07/2015,MALE,18-24,2,25/06/2015
214,1000-0022-8883-FAKE,12/08/2015,FEMALE,25-29,9,08/07/2015
215,1000-0022-3083-FAKE,01/08/2015,FEMALE,35-39,11,28/06/2015
216,1000-0026-4208-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
217,1000-0026-1278-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
218,1000-0026-5712-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
219,1000-0026-4378-FAKE,17/08/2015,MALE,40-49,1,17/08/2015
220,1000-0026-5957-FAKE,18/08/2015,MALE,50-64,1,18/08/2015
221,1000-0026-1014-FAKE,18/08/2015,FEMALE,40-49,1,14/08/2015
222,1000-0026-5757-FAKE,18/08/2015,MALE,35-39,1,18/08/2015
223,1000-0022-1438-FAKE,15/07/2015,MALE,18-24,1,25/06/2015
224,1000-0022-4417-FAKE,14/07/2015,FEMALE,30-34,2,30/06/2015
225,1000-0022-6037-FAKE,21/07/2015,FEMALE,40-49,3,03/07/2015
226,1000-0026-4467-FAKE,17/08/2015,MALE,25-29,1,17/08/2015
227,1000-0026-4281-FAKE,16/08/2015,MALE,40-49,1,16/08/2015
228,1000-0026-2981-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
229,1000-0026-2860-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
230,1000-0026-5960-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
231,1000-0026-1160-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
232,1000-0022-9220-FAKE,20/07/2015,FEMALE,40-49,3,08/07/2015
233,1000-0026-2636-FAKE,18/08/2015,MALE,50-64,1,15/08/2015
234,1000-0026-2715-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
235,1000-0022-8741-FAKE,23/07/2015,FEMALE,25-29,4,07/07/2015
236,1000-0022-7406-FAKE,20/07/2015,FEMALE,50-64,3,05/07/2015
237,1000-0022-2627-FAKE,15/07/2015,MALE,25-29,4,27/06/2015
238,1000-0026-1288-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
239,1000-0022-9227-FAKE,20/07/2015,FEMALE,40-49,1,08/07/2015
240,1000-0012-8899-FAKE,28/07/2015,MALE,35-39,27,04/02/2015
241,1000-0022-9027-FAKE,04/08/2015,FEMALE,30-34,5,08/07/2015
242,1000-0026-5929-FAKE,18/08/2015,MALE,18-24,1,18/08/2015
243,1000-0022-1248-FAKE,11/07/2015,FEMALE,18-24,3,25/06/2015
244,1000-0022-7569-FAKE,12/07/2015,MALE,40-49,1,05/07/2015
245,1000-0022-7669-FAKE,14/07/2015,MALE,35-39,1,05/07/2015
246,1000-0016-5890-FAKE,16/08/2015,FEMALE,50-64,33,02/04/2015
247,1000-0026-3004-FAKE,17/08/2015,FEMALE,40-49,1,15/08/2015
248,1000-0026-1091-FAKE,15/08/2015,FEMALE,30-34,1,14/08/2015
249,1000-0026-1066-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
250,1000-0026-5791-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
251,1000-0026-2770-FAKE,16/08/2015,FEMALE,18-24,1,15/08/2015
252,1000-0012-2957-FAKE,30/07/2015,FEMALE,25-29,53,27/01/2015
253,1000-0026-4570-FAKE,17/08/2015,FEMALE,25-29,1,17/08/2015
254,1000-0022-1251-FAKE,09/08/2015,FEMALE,18-24,9,25/06/2015
255,1000-0026-2767-FAKE,15/08/2015,MALE,50-64,1,15/08/2015
256,1000-0026-4446-FAKE,17/08/2015,MALE,25-29,1,17/08/2015
257,1000-0022-2972-FAKE,12/07/2015,MALE,30-34,3,27/06/2015
258,1000-0026-4425-FAKE,17/08/2015,MALE,30-34,1,17/08/2015
259,1000-0026-2925-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
260,1000-0016-4505-FAKE,17/08/2015,FEMALE,40-49,39,31/03/2015
261,1000-0026-1276-FAKE,17/08/2015,MALE,25-29,1,14/08/2015
262,1000-0026-5998-FAKE,18/08/2015,FEMALE,50-64,1,18/08/2015
263,1000-0026-1298-FAKE,17/08/2015,MALE,13-17,1,14/08/2015
264,1000-0022-5802-FAKE,26/07/2015,FEMALE,30-34,6,03/07/2015
265,1000-0026-4394-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
266,1000-0022-5844-FAKE,08/08/2015,MALE,40-49,5,03/07/2015
267,1000-0026-4535-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
268,1000-0022-2775-FAKE,24/07/2015,MALE,30-34,3,27/06/2015
269,1000-0026-4352-FAKE,16/08/2015,FEMALE,18-24,1,16/08/2015
270,1000-0022-7375-FAKE,04/08/2015,FEMALE,40-49,8,05/07/2015
271,1000-0022-3075-FAKE,19/07/2015,FEMALE,35-39,3,28/06/2015
272,1000-0022-5709-FAKE,31/07/2015,MALE,30-34,6,03/07/2015
273,1000-0022-9209-FAKE,11/07/2015,MALE,40-49,1,08/07/2015
274,1000-0026-3080-FAKE,15/08/2015,MALE,13-17,1,15/08/2015
275,1000-0026-4277-FAKE,18/08/2015,FEMALE,25-29,1,16/08/2015
276,1000-0026-2777-FAKE,15/08/2015,MALE,18-24,1,15/08/2015
277,1000-0026-2977-FAKE,17/08/2015,FEMALE,35-39,1,15/08/2015
278,1000-0026-5856-FAKE,18/08/2015,MALE,18-24,1,18/08/2015
279,1000-0002-1070-FAKE,18/08/2015,FEMALE,13-17,93,08/10/2014
280,1000-0026-1156-FAKE,14/08/2015,FEMALE,18-24,1,14/08/2015
281,1000-0026-1335-FAKE,14/08/2015,FEMALE,18-24,1,14/08/2015
282,1000-0022-2983-FAKE,18/08/2015,FEMALE,35-39,15,27/06/2015
283,1000-0026-1480-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
284,1000-0022-7533-FAKE,17/07/2015,MALE,35-39,1,05/07/2015
285,1000-0026-4245-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
286,1000-0026-5745-FAKE,18/08/2015,MALE,25-29,1,18/08/2015
287,1000-0026-1424-FAKE,14/08/2015,MALE,25-29,1,14/08/2015
288,1000-0022-8919-FAKE,29/07/2015,FEMALE,18-24,2,08/07/2015
289,1000-0026-4503-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
290,1000-0026-3003-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
291,1000-0026-4287-FAKE,16/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
292,1000-0026-3087-FAKE,15/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
293,1000-0006-5869-FAKE,25/07/2015,FEMALE,35-39,75,14/11/2014
294,1000-0026-4487-FAKE,17/08/2015,MALE,30-34,1,17/08/2015
295,1000-0026-2987-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,15/08/2015
296,1000-0026-4266-FAKE,17/08/2015,UNKNOWN,UNKNOWN,1,16/08/2015
297,1000-0026-3066-FAKE,15/08/2015,FEMALE,50-64,1,15/08/2015
298,1000-0006-4349-FAKE,17/08/2015,FEMALE,30-34,93,12/11/2014
299,1000-0022-7401-FAKE,05/08/2015,FEMALE,18-24,8,05/07/2015
300,1000-0022-7501-FAKE,11/08/2015,FEMALE,40-49,6,05/07/2015
301,1000-0026-3072-FAKE,17/08/2015,FEMALE,25-29,1,15/08/2015
302,1000-0022-8822-FAKE,26/07/2015,FEMALE,40-49,6,07/07/2015
303,1000-0022-7222-FAKE,18/07/2015,FEMALE,25-29,5,04/07/2015
304,1000-0022-9001-FAKE,12/07/2015,MALE,25-29,1,08/07/2015
305,1000-0022-8743-FAKE,19/07/2015,FEMALE,50-64,3,07/07/2015
306,1000-0026-5990-FAKE,18/08/2015,FEMALE,40-49,1,18/08/2015
307,1000-0022-1164-FAKE,16/07/2015,MALE,40-49,1,25/06/2015
308,1000-0026-5931-FAKE,18/08/2015,MALE,25-29,1,18/08/2015
309,1000-0022-7529-FAKE,18/07/2015,MALE,25-29,3,05/07/2015
310,1000-0026-4455-FAKE,17/08/2015,MALE,18-24,1,17/08/2015
311,1000-0026-2855-FAKE,18/08/2015,FEMALE,40-49,1,15/08/2015
312,1000-0026-3034-FAKE,18/08/2015,FEMALE,25-29,2,15/08/2015
313,1000-0026-4534-FAKE,17/08/2015,FEMALE,18-24,1,17/08/2015
314,1000-0026-3076-FAKE,15/08/2015,MALE,25-29,1,15/08/2015
315,1000-0022-1211-FAKE,21/07/2015,FEMALE,40-49,6,25/06/2015
316,1000-0022-4332-FAKE,02/08/2015,FEMALE,30-34,5,30/06/2015
317,1000-0022-3032-FAKE,14/07/2015,MALE,18-24,3,28/06/2015
318,1000-0022-5774-FAKE,24/07/2015,FEMALE,30-34,1,03/07/2015
319,1000-0026-5713-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,18/08/2015
320,1000-0026-4113-FAKE,16/08/2015,MALE,18-24,1,16/08/2015
321,1000-0022-9153-FAKE,19/07/2015,FEMALE,40-49,1,08/07/2015
322,1000-0026-2709-FAKE,17/08/2015,MALE,18-24,1,15/08/2015
323,1000-0026-4416-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,17/08/2015
324,1000-0026-1465-FAKE,18/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
325,1000-0026-1065-FAKE,14/08/2015,UNKNOWN,UNKNOWN,1,14/08/2015
